Method,Total Tests,Successful Tests,Completion Rate,Avg Processing Time (ms),Avg Precision,Avg Recall,Avg F1 Score,Avg Verification Accuracy,Avg Publication Count Accuracy,Avg Link Provision Rate,Avg Metadata Richness,Total Input Tokens,Total Output Tokens,Total API Calls,,
Traditional,136,135,0.993,30056.45,0.573,0.712,0.607,0.885,0.993,0.711,0.284,493380,328920,5482,,
Gemini AI,136,136,1,21153.81,0.408,0.7,0.445,0.692,0.613,0.713,0.285,1225000,525000,741,,
Claude AI,136,121,0.89,43870.91,0.434,0.706,0.468,0.718,0.716,0.752,0.301,621250,266250,393,,
ChatGPT AI,136,115,0.846,45427.81,0.428,0.739,0.465,0.722,0.735,0.817,0.327,645050,276450,409,,
Grok AI,136,133,0.978,54263.16,0.45,0.791,0.496,0.684,0.696,0.812,0.325,1330350,570150,807,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Method,Avg Processing Time (ms),,,,,,Method,Avg Precision,Avg Recall,Avg F1 Score,Avg Verification Accuracy,,,,,
Traditional,30056.45,,,,,,Traditional,0.573,0.712,0.607,0.885,,,,,
Gemini AI,21153.81,,,,,,Gemini AI,0.408,0.7,0.445,0.692,,,,,
Claude AI,43870.91,,,,,,Claude AI,0.434,0.706,0.468,0.718,,,,,
ChatGPT AI,45427.81,,,,,,ChatGPT AI,0.428,0.739,0.465,0.722,,,,,
Grok AI,54263.16,,,,,,Grok AI,0.45,0.791,0.496,0.684,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Method,Avg Publication Count Accuracy,,,,,,Method,Avg Precision,Avg Recall,,,,,,,
Traditional,0.993,,,,,,Traditional,0.573,0.712,,,,,,,
Gemini AI,0.613,,,,,,Gemini AI,0.408,0.7,,,,,,,
Claude AI,0.716,,,,,,Claude AI,0.434,0.706,,,,,,,
ChatGPT AI,0.735,,,,,,ChatGPT AI,0.428,0.739,,,,,,,
Grok AI,0.696,,,,,,Grok AI,0.45,0.791,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,LineX,LineY,,,,,,,,
,,,,,,,0,0,,,,,,,,
,,,,,,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Method,Avg Link Provision Rate,Avg Metadata Richness,,,,,Method,Completion Rate,,,,,,,,
Traditional,0.711,0.284,,,,,Traditional,0.993,,,,,,,,
Gemini AI,0.713,0.285,,,,,Gemini AI,1,,,,,,,,
Claude AI,0.752,0.301,,,,,Claude AI,0.89,,,,,,,,
ChatGPT AI,0.817,0.327,,,,,ChatGPT AI,0.846,,,,,,,,
Grok AI,0.812,0.325,,,,,Grok AI,0.978,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Method,Total API Calls,Total Input Tokens,Total Output Tokens,,,,,,,,,,,,,
Traditional,5482,493380,328920,,,,,,,,,,,,,
Gemini AI,741,1225000,525000,,,,,,,,,,,,,
Claude AI,393,621250,266250,,,,,,,,,,,,,
ChatGPT AI,409,645050,276450,,,,,,,,,,,,,
Grok AI,807,1330350,570150,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Method,Speed Rank,Accuracy Rank,Quality Rank,Robustness Rank,Cost Rank,,,,,Metric/Method,,Traditional,Gemini AI,Claude AI,ChatGPT AI,Grok AI
Gemini AI,1,5,5,1,4,,,,,Speed ,Average Time Process," 30,056.45 "," 21,153.81 "," 43,870.91 "," 45,427.81 "," 54,263.16 "
Claude AI,3,3,3,4,2,,,,,Accuracy ,F1 Score , 0.61 , 0.45 , 0.47 , 0.47 , 0.50 
ChatGPT AI,4,2,4,5,3,,,,,,Verification Rate, 0.89 , 0.69 , 0.72 , 0.72 , 0.68 
Traditional,2,1,1,2,1,,,,,Quality ,Link Rate, 0.71 , 0.71 , 0.75 , 0.82 , 0.81 
Grok AI,5,4,2,3,5,,,,,Robustness,Completion Rate, 0.99 , 1.00 , 0.89 , 0.85 , 0.98 
,,,,,,,,,,Cost,Total API Calls," 5,482.00 ", 741.00 , 393.00 , 409.00 , 807.00 
,,,,,,,,,,,Total Input Tokens," 493,380.00 "," 1,225,000.00 "," 621,250.00 "," 645,050.00 "," 1,330,350.00 "
,,,,,,,,,,,Total Output Tokens," 328,920.00 "," 525,000.00 "," 266,250.00 "," 276,450.00 "," 570,150.00 "
,,,,,,,,,,,API cost,75$/month (Serp API),"Input: 0.1$
Output: 0.4$
(Per 1M tokens)","Input: 3$
Output: 15$
(Per 1M tokens)","Input: 3$
Output: 12$
(Per 1M tokens)","Input: 0.20$
Output: 1.50$
(Per 1M tokens)"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Method,Avg Processing Time (ms),Avg F1 Score,Completion Rate,,,,,,,,,,,,,
Traditional,30056.45,0.607,0.993,,,,,,,,,,,,,
Gemini AI,21153.81,0.445,1,,,,,,,,,,,,,
Claude AI,43870.91,0.468,0.89,,,,,,,,,,,,,
ChatGPT AI,45427.81,0.465,0.846,,,,,,,,,,,,,
Grok AI,54263.16,0.496,0.978,,,,,,,,,,,,,
