"CV Name","Method","Success","Processing Time (ms)","Time Per Publication (ms)","Total Publications","Verified Publications","Verified With Author Match","Link Provision Rate","Citation Count Availability","Metadata Richness","Input Tokens","Output Tokens","Total Tokens","API Calls","Error"
"1-page-PG","Traditional","true","1738.78","","","","","0.000","0.000","0.000","","","","",""
"1-page-PG","Gemini AI","true","1698.79","1698.79","1","","","1.000","0.000","0.400","350","150","500","1",""
"1-page-PG","Claude AI","true","4599.83","4599.83","1","","","1.000","0.000","0.400","350","150","500","1",""
"1-page-PG","ChatGPT AI","true","3469.12","3469.12","1","","","1.000","0.000","0.400","350","150","500","1",""
"1-page-PG","Grok AI","true","16581.12","16581.12","1","","","1.000","0.000","0.400","350","150","500","1",""
"1-page-UG","Traditional","true","1572.96","","","","","0.000","0.000","0.000","","","","",""
"1-page-UG","Gemini AI","true","1891.58","1891.58","1","","","1.000","0.000","0.400","350","150","500","1",""
"1-page-UG","Claude AI","true","5372.62","5372.62","1","","","1.000","0.000","0.400","350","150","500","1",""
"1-page-UG","ChatGPT AI","true","3347.16","3347.16","1","","","1.000","0.000","0.400","350","150","500","1",""
"1-page-UG","Grok AI","true","14968.92","14968.92","1","","","1.000","0.000","0.400","350","150","500","1",""
"2-page-PG","Traditional","true","1280.43","","","","","0.000","0.000","0.000","","","","",""
"2-page-PG","Gemini AI","true","1479.46","","","","","0.000","0.000","0.000","","","","",""
"2-page-PG","Claude AI","true","4370.37","","","","","0.000","0.000","0.000","","","","",""
"2-page-PG","ChatGPT AI","true","4841.19","1613.73","3","","","1.000","0.000","0.400","1050","450","1500","1",""
"2-page-PG","Grok AI","true","13217.31","6608.65","2","","","1.000","0.000","0.400","700","300","1000","1",""
"2-page-UG","Traditional","true","1678.06","","","","","0.000","0.000","0.000","","","","",""
"2-page-UG","Gemini AI","true","1677.28","","","","","0.000","0.000","0.000","","","","",""
"2-page-UG","Claude AI","true","3256.09","","","","","0.000","0.000","0.000","","","","",""
"2-page-UG","ChatGPT AI","true","2201.53","","","","","0.000","0.000","0.000","","","","",""
"2-page-UG","Grok AI","true","11896.54","","","","","0.000","0.000","0.000","","","","",""
"2232","Traditional","true","3370.78","3370.78","1","1","1","1.000","0.000","0.400","180","120","300","2",""
"2232","Gemini AI","true","4190.41","1047.60","4","1","1","1.000","0.000","0.400","1400","600","2000","1",""
"2232","Claude AI","true","10407.92","2601.98","4","","","1.000","0.000","0.400","1400","600","2000","1",""
"2232","ChatGPT AI","true","4167.39","4167.39","1","1","","1.000","0.000","0.400","350","150","500","1",""
"2232","Grok AI","true","19773.96","4943.49","4","","","1.000","0.000","0.400","1400","600","2000","1",""
"academics-rmit-edu-au-ahmad-abareshi-publications...","Traditional","true","34803.10","1450.13","24","21","21","1.000","0.000","0.400","4320","2880","7200","48",""
"academics-rmit-edu-au-ahmad-abareshi-publications...","Gemini AI","true","19198.58","799.94","24","24","24","1.000","0.000","0.400","8400","3600","12000","5",""
"academics-rmit-edu-au-ahmad-abareshi-publications...","Claude AI","true","62889.37","2620.39","24","24","24","1.000","0.000","0.400","8400","3600","12000","5",""
"academics-rmit-edu-au-ahmad-abareshi-publications...","ChatGPT AI","true","121176.62","5049.03","24","22","22","1.000","0.000","0.400","8400","3600","12000","5",""
"academics-rmit-edu-au-ahmad-abareshi-publications...","Grok AI","true","45449.13","1893.71","24","24","24","1.000","0.000","0.400","8400","3600","12000","5",""
"academics-rmit-edu-au-aleksandra-acker-publications...","Traditional","true","33637.40","1345.50","25","18","17","1.000","0.000","0.400","4500","3000","7500","50",""
"academics-rmit-edu-au-aleksandra-acker-publications...","Gemini AI","true","15955.13","638.21","25","22","22","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-aleksandra-acker-publications...","Claude AI","true","51973.50","2078.94","25","21","21","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-aleksandra-acker-publications...","ChatGPT AI","true","36571.86","1462.87","25","20","20","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-aleksandra-acker-publications...","Grok AI","true","33106.47","1324.26","25","22","22","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications... (1)","Traditional","true","36715.42","1468.62","25","25","25","1.000","0.000","0.400","4500","3000","7500","50",""
"academics-rmit-edu-au-amanda-abraham-publications... (1)","Gemini AI","true","17526.18","701.05","25","25","24","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications... (1)","Claude AI","true","142653.32","5706.13","25","23","22","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications... (1)","ChatGPT AI","true","189009.26","7560.37","25","21","17","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications... (1)","Grok AI","true","53913.61","2156.54","25","23","18","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications... (2)","Traditional","true","32804.86","1312.19","25","25","24","1.000","0.000","0.400","4500","3000","7500","50",""
"academics-rmit-edu-au-amanda-abraham-publications... (2)","Gemini AI","true","18529.85","741.19","25","25","24","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications... (2)","Claude AI","true","62717.76","2508.71","25","23","22","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications... (2)","ChatGPT AI","true","72291.68","2891.67","25","21","21","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications... (2)","Grok AI","true","46295.09","1851.80","25","25","19","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications...","Traditional","true","32800.54","1312.02","25","25","25","1.000","0.000","0.400","4500","3000","7500","50",""
"academics-rmit-edu-au-amanda-abraham-publications...","Gemini AI","true","19192.32","767.69","25","25","24","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications...","Claude AI","true","71915.18","2876.61","25","23","22","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications...","ChatGPT AI","true","127024.15","5080.97","25","22","17","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-amanda-abraham-publications...","Grok AI","true","67891.29","2715.65","25","25","19","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-babak-abbasi-publications","Traditional","true","9998.54","","","","","0.000","0.000","0.000","","","","",""
"academics-rmit-edu-au-babak-abbasi-publications","Gemini AI","true","20311.29","812.45","25","25","18","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-babak-abbasi-publications","Claude AI","true","64871.90","2594.88","25","25","24","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-babak-abbasi-publications","ChatGPT AI","true","143445.53","5737.82","25","22","16","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-babak-abbasi-publications","Grok AI","true","53355.20","2134.21","25","25","18","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-behzad-abbasnejad-publications...","Traditional","true","33355.66","1516.17","22","20","20","1.000","0.000","0.400","3960","2640","6600","44",""
"academics-rmit-edu-au-behzad-abbasnejad-publications...","Gemini AI","true","17778.39","846.59","21","21","20","1.000","0.000","0.400","7349.999999999999","3150","10500","5",""
"academics-rmit-edu-au-behzad-abbasnejad-publications...","Claude AI","true","89891.92","4280.57","21","17","17","1.000","0.000","0.400","7349.999999999999","3150","10500","5",""
"academics-rmit-edu-au-behzad-abbasnejad-publications...","ChatGPT AI","true","45951.43","2188.16","21","17","17","1.000","0.000","0.400","7349.999999999999","3150","10500","5",""
"academics-rmit-edu-au-behzad-abbasnejad-publications...","Grok AI","true","49871.19","2374.82","21","21","18","1.000","0.000","0.400","7349.999999999999","3150","10500","5",""
"academics-rmit-edu-au-golnoush-abaei-publications...","Traditional","true","34299.70","1429.15","24","24","22","1.000","0.000","0.400","4320","2880","7200","48",""
"academics-rmit-edu-au-golnoush-abaei-publications...","Gemini AI","true","17189.76","747.38","23","23","21","1.000","0.000","0.400","8049.999999999999","3450","11500","5",""
"academics-rmit-edu-au-golnoush-abaei-publications...","Claude AI","true","73320.46","3187.85","23","22","22","1.000","0.000","0.400","8049.999999999999","3450","11500","5",""
"academics-rmit-edu-au-golnoush-abaei-publications...","ChatGPT AI","true","51161.74","2224.42","23","22","21","1.000","0.000","0.400","8049.999999999999","3450","11500","5",""
"academics-rmit-edu-au-golnoush-abaei-publications...","Grok AI","true","45361.30","1972.23","23","23","21","1.000","0.000","0.400","8049.999999999999","3450","11500","5",""
"academics-rmit-edu-au-kathleen-adams-publications... (1)","Traditional","true","17172.06","1431.01","12","4","","1.000","0.000","0.400","2160","1440","3600","24",""
"academics-rmit-edu-au-kathleen-adams-publications... (1)","Gemini AI","true","9618.17","801.51","12","12","11","1.000","0.000","0.400","4200","1800","6000","3",""
"academics-rmit-edu-au-kathleen-adams-publications... (1)","Claude AI","true","27469.00","2289.08","12","12","","1.000","0.000","0.400","4200","1800","6000","3",""
"academics-rmit-edu-au-kathleen-adams-publications... (1)","ChatGPT AI","true","86147.78","7178.98","12","10","10","1.000","0.000","0.400","4200","1800","6000","3",""
"academics-rmit-edu-au-kathleen-adams-publications... (1)","Grok AI","true","50072.01","4172.67","12","12","","1.000","0.000","0.400","4200","1800","6000","3",""
"academics-rmit-edu-au-kathleen-adams-publications...","Traditional","true","14883.97","1240.33","12","8","","1.000","0.000","0.400","2160","1440","3600","24",""
"academics-rmit-edu-au-kathleen-adams-publications...","Gemini AI","true","9367.12","780.59","12","12","11","1.000","0.000","0.400","4200","1800","6000","3",""
"academics-rmit-edu-au-kathleen-adams-publications...","Claude AI","true","45215.08","3767.92","12","12","","1.000","0.000","0.400","4200","1800","6000","3",""
"academics-rmit-edu-au-kathleen-adams-publications...","ChatGPT AI","true","24064.57","2005.38","12","3","2","1.000","0.000","0.400","4200","1800","6000","3",""
"academics-rmit-edu-au-kathleen-adams-publications...","Grok AI","true","36259.87","3021.66","12","12","11","1.000","0.000","0.400","4200","1800","6000","3",""
"academics-rmit-edu-au-lisanne-adam-publications... (1)","Traditional","true","11979.31","1996.55","6","4","4","1.000","0.000","0.400","1080","720","1800","12",""
"academics-rmit-edu-au-lisanne-adam-publications... (1)","Gemini AI","true","4061.60","676.93","6","","","1.000","0.000","0.400","2100","900","3000","2",""
"academics-rmit-edu-au-lisanne-adam-publications... (1)","Claude AI","true","17377.32","2896.22","6","5","5","1.000","0.000","0.400","2100","900","3000","2",""
"academics-rmit-edu-au-lisanne-adam-publications... (1)","ChatGPT AI","true","13179.05","2196.51","6","4","4","1.000","0.000","0.400","2100","900","3000","2",""
"academics-rmit-edu-au-lisanne-adam-publications... (1)","Grok AI","true","17408.65","2901.44","6","5","5","1.000","0.000","0.400","2100","900","3000","2",""
"academics-rmit-edu-au-lisanne-adam-publications...","Traditional","true","14570.26","2428.38","6","6","6","1.000","0.000","0.400","1080","720","1800","12",""
"academics-rmit-edu-au-lisanne-adam-publications...","Gemini AI","true","4909.99","818.33","6","","","1.000","0.000","0.400","2100","900","3000","2",""
"academics-rmit-edu-au-lisanne-adam-publications...","Claude AI","true","47291.34","7881.89","6","5","5","1.000","0.000","0.400","2100","900","3000","2",""
"academics-rmit-edu-au-lisanne-adam-publications...","ChatGPT AI","true","11726.17","1954.36","6","5","5","1.000","0.000","0.400","2100","900","3000","2",""
"academics-rmit-edu-au-lisanne-adam-publications...","Grok AI","true","17411.12","2901.85","6","5","5","1.000","0.000","0.400","2100","900","3000","2",""
"academics-rmit-edu-au-luise-adams-publications...","Traditional","true","6320.65","2106.88","3","1","1","1.000","0.000","0.400","540","360","900","6",""
"academics-rmit-edu-au-luise-adams-publications...","Gemini AI","true","4510.90","1503.63","3","3","3","1.000","0.000","0.400","1050","450","1500","1",""
"academics-rmit-edu-au-luise-adams-publications...","Claude AI","true","21287.91","7095.97","3","3","3","1.000","0.000","0.400","1050","450","1500","1",""
"academics-rmit-edu-au-luise-adams-publications...","ChatGPT AI","true","7186.38","2395.46","3","2","2","1.000","0.000","0.400","1050","450","1500","1",""
"academics-rmit-edu-au-luise-adams-publications...","Grok AI","true","13224.78","4408.26","3","3","3","1.000","0.000","0.400","1050","450","1500","1",""
"academics-rmit-edu-au-mali-abdollahian-publications...","Traditional","true","36081.84","1443.27","25","23","23","1.000","0.000","0.400","4500","3000","7500","50",""
"academics-rmit-edu-au-mali-abdollahian-publications...","Gemini AI","true","15485.92","619.44","25","4","1","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-mali-abdollahian-publications...","Claude AI","true","70481.04","2819.24","25","10","7","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-mali-abdollahian-publications...","ChatGPT AI","true","53192.91","2127.72","25","15","4","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-mali-abdollahian-publications...","Grok AI","true","51233.48","2049.34","25","20","9","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-muhammad-abdulrahman-publications...","Traditional","true","37611.48","1504.46","25","22","21","1.000","0.000","0.400","4500","3000","7500","50",""
"academics-rmit-edu-au-muhammad-abdulrahman-publications...","Gemini AI","true","16773.54","729.28","23","19","16","1.000","0.000","0.400","8049.999999999999","3450","11500","5",""
"academics-rmit-edu-au-muhammad-abdulrahman-publications...","Claude AI","true","111057.00","4442.28","25","25","25","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-muhammad-abdulrahman-publications...","ChatGPT AI","true","136078.44","5443.14","25","24","24","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-muhammad-abdulrahman-publications...","Grok AI","true","37107.32","1613.36","23","23","19","1.000","0.000","0.400","8049.999999999999","3450","11500","5",""
"academics-rmit-edu-au-robab-abdolkhani-publications...","Traditional","true","21359.20","2373.24","9","8","8","1.000","0.000","0.400","1620","1080","2700","18",""
"academics-rmit-edu-au-robab-abdolkhani-publications...","Gemini AI","true","8122.26","902.47","9","9","7","1.000","0.000","0.400","3150","1350","4500","2",""
"academics-rmit-edu-au-robab-abdolkhani-publications...","Claude AI","true","75320.69","8368.97","9","9","9","1.000","0.000","0.400","3150","1350","4500","2",""
"academics-rmit-edu-au-robab-abdolkhani-publications...","ChatGPT AI","true","20540.43","2282.27","9","9","7","1.000","0.000","0.400","3150","1350","4500","2",""
"academics-rmit-edu-au-robab-abdolkhani-publications...","Grok AI","true","21332.91","2370.32","9","9","9","1.000","0.000","0.400","3150","1350","4500","2",""
"academics-rmit-edu-au-sol-abdulhak-publications...","Traditional","true","4772.03","2386.01","2","1","","1.000","0.000","0.400","360","240","600","4",""
"academics-rmit-edu-au-sol-abdulhak-publications...","Gemini AI","true","3738.93","1869.46","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-sol-abdulhak-publications...","Claude AI","true","10294.37","5147.18","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-sol-abdulhak-publications...","ChatGPT AI","true","5790.33","2895.16","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-sol-abdulhak-publications...","Grok AI","true","27979.51","13989.76","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-sylvester-abanteriba-publications","Traditional","true","14861.38","4953.79","3","3","","1.000","0.000","0.400","540","360","900","6",""
"academics-rmit-edu-au-sylvester-abanteriba-publications","Gemini AI","true","19331.84","773.27","25","25","19","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-sylvester-abanteriba-publications","Claude AI","true","79085.99","3163.44","25","24","24","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-sylvester-abanteriba-publications","ChatGPT AI","true","116424.57","4656.98","25","24","22","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-sylvester-abanteriba-publications","Grok AI","true","57409.46","2296.38","25","23","18","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-tor-helge-aas-publications...","Traditional","true","5416.16","2708.08","2","2","2","1.000","0.000","0.400","360","240","600","4",""
"academics-rmit-edu-au-tor-helge-aas-publications...","Gemini AI","true","4391.70","2195.85","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-tor-helge-aas-publications...","Claude AI","true","11682.97","5841.49","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-tor-helge-aas-publications...","ChatGPT AI","true","6413.84","3206.92","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-tor-helge-aas-publications...","Grok AI","true","11380.65","5690.32","2","2","2","1.000","0.000","0.400","700","300","1000","1",""
"academics-rmit-edu-au-trevor-abbott-publications","Traditional","true","10778.58","","","","","0.000","0.000","0.000","","","","",""
"academics-rmit-edu-au-trevor-abbott-publications","Gemini AI","true","18336.22","733.45","25","25","17","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-trevor-abbott-publications","Claude AI","true","120942.72","4837.71","25","25","25","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-trevor-abbott-publications","ChatGPT AI","true","178642.01","7145.68","25","25","19","1.000","0.000","0.400","8750","3750","12500","5",""
"academics-rmit-edu-au-trevor-abbott-publications","Grok AI","true","54118.58","2164.74","25","25","17","1.000","0.000","0.400","8750","3750","12500","5",""
"academic_cv_example_template_iconic","Traditional","true","6188.69","","","","","0.000","0.000","0.000","","","","",""
"academic_cv_example_template_iconic","Gemini AI","true","5091.52","1018.30","5","","","1.000","0.000","0.400","1750","750","2500","1",""
"academic_cv_example_template_iconic","Claude AI","true","9385.56","3128.52","3","","","1.000","0.000","0.400","1050","450","1500","1",""
"academic_cv_example_template_iconic","ChatGPT AI","true","8436.47","2109.12","4","","","1.000","0.000","0.400","1400","600","2000","1",""
"academic_cv_example_template_iconic","Grok AI","true","12684.64","","","","","0.000","0.000","0.000","","","","",""
"ADV_Sample_CV_MaryAskov_TenureTrack","Traditional","true","17928.79","1494.07","12","2","","1.000","0.000","0.400","2160","1440","3600","24",""
"ADV_Sample_CV_MaryAskov_TenureTrack","Gemini AI","true","21602.05","1350.13","16","7","7","1.000","0.000","0.400","5600","2400","8000","4",""
"ADV_Sample_CV_MaryAskov_TenureTrack","Claude AI","true","53687.56","4473.96","12","","","1.000","0.000","0.400","4200","1800","6000","3",""
"ADV_Sample_CV_MaryAskov_TenureTrack","ChatGPT AI","true","34822.41","2901.87","12","","","1.000","0.000","0.400","4200","1800","6000","3",""
"ADV_Sample_CV_MaryAskov_TenureTrack","Grok AI","true","32001.04","2000.07","16","6","6","1.000","0.000","0.400","5600","2400","8000","4",""
"amitabhchandra","Traditional","true","118501.07","1377.92","86","42","35","1.000","0.000","0.400","15480","10320","25800","172",""
"amitabhchandra","Gemini AI","true","73948.41","506.50","146","131","131","1.000","0.000","0.400","51100","21900","73000","30",""
"amitabhchandra","Claude AI","false","300006.59","","","","","","","","","","","","Timeout"
"amitabhchandra","ChatGPT AI","false","300003.18","","","","","","","","","","","","Timeout"
"amitabhchandra","Grok AI","true","174381.69","1417.74","123","121","118","1.000","0.000","0.400","43050","18450","61500","25",""
"arnoldhowitt","Traditional","true","95236.35","1442.98","66","8","6","1.000","0.000","0.400","11880","7920","19800","132",""
"arnoldhowitt","Gemini AI","true","104761.32","392.36","267","83","83","1.000","0.000","0.400","93450","40050","133500","54",""
"arnoldhowitt","Claude AI","false","300002.10","","","","","","","","","","","","Timeout"
"arnoldhowitt","ChatGPT AI","false","300013.24","","","","","","","","","","","","Timeout"
"arnoldhowitt","Grok AI","true","175064.07","1316.27","133","77","77","1.000","0.000","0.400","46550","19950","66500","27",""
"arthurbrooks","Traditional","true","17519.21","","","","","0.000","0.000","0.000","","","","",""
"arthurbrooks","Gemini AI","true","33587.57","","","","","0.000","0.000","0.000","","","","",""
"arthurbrooks","Claude AI","true","73994.70","3523.56","21","20","20","1.000","0.000","0.400","7349.999999999999","3150","10500","5",""
"arthurbrooks","ChatGPT AI","true","201185.64","","","","","0.000","0.000","0.000","","","","",""
"arthurbrooks","Grok AI","true","44748.43","1945.58","23","23","23","1.000","0.000","0.400","8049.999999999999","3450","11500","5",""
"asimijazkhwaja","Traditional","true","51864.14","1329.85","39","29","29","1.000","0.000","0.400","7020","4680","11700","78",""
